,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
40,AAPL220916C00117500,2021-11-03 19:48:51,117.5,38.02,38.2,38.5,0.0,0.0,1,3613.0,0.3284368914794922,True,REGULAR,USD
41,AAPL220916C00120000,2021-11-04 17:35:21,120.0,35.79,36.15,36.45,0.0,0.0,165,3948.0,0.32294378234863275,True,REGULAR,USD
42,AAPL220916C00122500,2021-11-04 17:32:51,122.5,33.76,34.25,34.5,0.0,0.0,4,3019.0,0.319220675048828,True,REGULAR,USD
43,AAPL220916C00125000,2021-11-04 18:53:40,125.0,31.85,32.25,32.55,0.0,0.0,33,23439.0,0.31445998046874996,True,REGULAR,USD
44,AAPL220916C00130000,2021-11-04 14:44:33,130.0,28.2,28.65,28.95,0.0,0.0,32,15055.0,0.3089058367919921,True,REGULAR,USD
45,AAPL220916C00135000,2021-11-04 17:38:22,135.0,24.65,25.2,25.45,0.0,0.0,32,4932.0,0.30118496673583983,True,REGULAR,USD
46,AAPL220916C00140000,2021-11-04 19:52:22,140.0,21.3,21.85,22.1,0.0,0.0,33,12389.0,0.2924875439453124,True,REGULAR,USD
47,AAPL220916C00145000,2021-11-04 18:44:45,145.0,18.6,19.0,19.2,0.0,0.0,58,6053.0,0.2882151257324218,True,REGULAR,USD
48,AAPL220916C00150000,2021-11-05 13:38:07,150.0,16.55,16.45,16.6,0.74999905,4.7468295,84,18959.0,0.2851023638916015,True,REGULAR,USD
49,AAPL220916C00155000,2021-11-04 19:56:56,155.0,13.6,14.1,14.3,0.0,0.0,397,7746.0,0.2829966720581054,False,REGULAR,USD
50,AAPL220916C00160000,2021-11-04 18:58:33,160.0,11.85,12.0,12.2,0.0,0.0,129,22432.0,0.2802196002197265,False,REGULAR,USD
51,AAPL220916C00165000,2021-11-05 13:32:08,165.0,10.5,10.3,10.45,0.32999992,3.244837,10,7929.0,0.27967028930664056,False,REGULAR,USD
52,AAPL220916C00170000,2021-11-04 15:10:52,170.0,8.55,8.7,8.9,0.0,0.0,147,12016.0,0.27893787475585935,False,REGULAR,USD
53,AAPL220916C00175000,2021-11-04 19:55:09,175.0,7.14,7.45,7.6,0.0,0.0,38,9078.0,0.2792735647583008,False,REGULAR,USD
54,AAPL220916C00180000,2021-11-04 19:55:55,180.0,6.1,6.3,6.5,0.0,0.0,30,15897.0,0.28018908294677725,False,REGULAR,USD
55,AAPL220916C00185000,2021-11-04 19:46:34,185.0,5.26,5.35,5.5,0.0,0.0,34,4035.0,0.28003649658203117,False,REGULAR,USD
56,AAPL220916C00190000,2021-11-04 19:23:54,190.0,4.6,4.55,4.7,0.0,0.0,4,5520.0,0.2813182220458984,False,REGULAR,USD
57,AAPL220916C00195000,2021-11-03 19:51:45,195.0,3.86,3.9,4.05,0.0,0.0,1,2223.0,0.2834544311523437,False,REGULAR,USD
58,AAPL220916C00200000,2021-11-05 13:32:08,200.0,3.5,3.35,3.45,0.17000008,5.1051073,11,11345.0,0.28443098388671867,False,REGULAR,USD
59,AAPL220916C00210000,2021-11-04 16:10:03,210.0,2.47,2.47,2.55,0.0,0.0,322,3456.0,0.28803202209472645,False,REGULAR,USD
60,AAPL220916C00220000,2021-11-04 17:48:36,220.0,1.88,1.87,1.95,0.0,0.0,411,1140.0,0.2937082348632812,False,REGULAR,USD
61,AAPL220916C00225000,2021-11-04 16:05:54,225.0,1.64,1.65,1.7,0.0,0.0,145,4111.0,0.29608858215332035,False,REGULAR,USD
62,AAPL220916C00230000,2021-11-03 16:06:42,230.0,1.4,1.45,1.5,0.0,0.0,2,2488.0,0.2990792749023437,False,REGULAR,USD
63,AAPL220916C00240000,2021-10-29 16:00:41,240.0,1.17,1.15,1.2,0.0,0.0,77,622.0,0.30609824768066407,False,REGULAR,USD
64,AAPL220916C00250000,2021-11-04 19:18:01,250.0,0.93,0.92,0.97,0.0,0.0,31,34196.0,0.31287308227539057,False,REGULAR,USD
65,AAPL220916C00260000,2021-11-04 19:55:56,260.0,0.78,0.0,0.81,0.0,0.0,251,2415.0,0.3205634350585937,False,REGULAR,USD
66,AAPL220916C00270000,2020-08-27 14:10:43,270.0,250.0,243.35,247.5,0.0,0.0,2,226.0,0.0,False,REGULAR,USD
67,AAPL220916C00280000,2020-08-27 19:58:42,280.0,238.0,235.45,239.5,0.0,0.0,33,133.0,0.0,False,REGULAR,USD
68,AAPL220916C00290000,2020-08-28 17:51:01,290.0,230.57,227.45,232.0,0.0,0.0,2,0.0,0.0,False,REGULAR,USD
69,AAPL220916C00300000,2020-08-28 19:11:26,300.0,224.74,219.95,224.5,-0.83999634,-0.3723718,15,792.0,0.0,False,REGULAR,USD
70,AAPL220916C00305000,2020-08-24 14:05:41,305.0,218.0,216.15,220.5,0.0,0.0,1,142.0,0.0,False,REGULAR,USD
71,AAPL220916C00310000,2020-08-28 18:00:15,310.0,215.66,212.75,217.0,-2.399994,-1.1006117,4,127.0,0.0,False,REGULAR,USD
72,AAPL220916C00315000,2020-08-24 13:47:53,315.0,219.4,209.1,213.5,-0.010009766,-0.004562128,2,49.0,0.0,False,REGULAR,USD
73,AAPL220916C00320000,2020-08-28 17:30:21,320.0,208.0,205.3,209.5,-0.020004272,-0.009616514,1,207.0,0.0,False,REGULAR,USD
74,AAPL220916C00325000,2020-08-27 13:33:46,325.0,210.4,202.0,206.0,0.019989014,0.009501385,1,112.0,0.0,False,REGULAR,USD
75,AAPL220916C00330000,2020-08-28 19:11:26,330.0,202.86,201.0,203.45,-1.449997,-0.70970434,4,138.0,0.0,False,REGULAR,USD
76,AAPL220916C00335000,2020-08-25 15:27:46,335.0,195.0,194.8,199.0,0.0,0.0,1,87.0,0.0,False,REGULAR,USD
